"long","prism","length","beam","ratio"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",568,"4.78","3.99","3.17"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",569,"4.78","3.04","3.64"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",565,"4.78","5.35","2.76"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.3",564,"5.10","3.95","3.53"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",574,"4.36","3.96","2.76"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.4",568,"4.34","2.98","3.15"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.3",562,"5.14","4.95","3.17"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.4",585,"4.78","3.84","3.32"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"-2.2",546,"4.78","4.13","3.07"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"0.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"-5.0",565,"4.77","3.99","3.15"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"0.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-5.0",565,"5.10","3.94","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"5.11","3.69","3.51"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.76","3.68","3.16"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"-2.3",530,"4.34","2.81","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"0.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"-5.0",600,"4.78","4.24","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
"0.0",530,"4.78","3.75","3.15"
