1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14
1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09
1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0
1.52777,12.64,0,0.67,72.02,0.06,14.4,0,0
1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0,0
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31
1.51617,14.95,0,2.27,73.3,0,8.71,0.67,0
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0
1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0
1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17
1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0,0
1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0
1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0
1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0
1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01
1.51653,11.95,0,1.19,75.18,2.7,8.93,0,0
1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0
1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0
1.53393,12.3,0,1,70.16,0.12,16.19,0,0.24
1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0
1.51994,13.27,0,1.76,73.03,0.47,11.32,0,0
1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09
1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0
1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0
1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0
